epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,35.7392,5.21244,4.78261,3.97444,0.48169,0,0,0,0,5.41984,5.67398,4.41556,0.51348,0.000173363,0.000173363,0.000173363
2,66.6668,4.73966,4.13227,3.27766,0.41454,0.01781,0.01038,0.00111,0.00023,4.72648,4.51332,3.37179,0.36483,0.000331436,0.000331436,0.000331436
3,98.0758,4.26727,3.44714,2.60403,0.387,0.08833,0.02742,0.00558,0.00133,4.05199,5.54916,2.25516,0.36403,0.000472151,0.000472151,0.000472151
4,128.539,3.9181,3.12368,2.25278,0.38094,0.17141,0.03354,0.00939,0.00264,3.83438,3.82241,2.07755,0.34078,0.000447889,0.000447889,0.000447889
5,159.295,3.74977,2.90341,2.02307,0.35258,0.19568,0.03873,0.01934,0.00744,3.6958,3.51299,1.88449,0.33456,0.000421852,0.000421852,0.000421852
6,190.79,3.60378,2.72665,1.85074,0.34634,0.33672,0.05675,0.02934,0.01307,3.53493,3.39549,1.85084,0.32279,0.000395815,0.000395815,0.000395815
7,222.215,3.47958,2.59711,1.79611,0.3273,0.3808,0.06432,0.03944,0.01821,3.39966,3.37327,1.75511,0.30595,0.000369778,0.000369778,0.000369778
8,253.032,3.38471,2.51188,1.76025,0.32065,0.47473,0.08149,0.05225,0.02429,3.3202,2.91621,1.74193,0.29252,0.000343741,0.000343741,0.000343741
9,284.003,3.28067,2.45595,1.7153,0.2873,0.5083,0.08435,0.06033,0.02883,3.21768,2.9,1.66,0.27183,0.000317704,0.000317704,0.000317704
10,312.303,3.24547,2.33952,1.65267,0.28453,0.50988,0.08846,0.06612,0.03203,3.13234,2.79382,1.65877,0.262,0.000291667,0.000291667,0.000291667
11,366.169,3.13462,2.58631,1.67671,0.2716,0.48191,0.10256,0.07415,0.03572,3.11269,2.79573,1.63321,0.25461,0.00026563,0.00026563,0.00026563
12,392.892,3.04607,2.38671,1.65355,0.26032,0.4937,0.09703,0.0768,0.03842,3.04631,2.55964,1.58498,0.25105,0.000239593,0.000239593,0.000239593
13,419.63,2.96277,2.27091,1.6202,0.25211,0.49253,0.09701,0.0764,0.03808,3.02512,2.83696,1.56548,0.24266,0.000213556,0.000213556,0.000213556
14,445.687,2.94263,2.28455,1.60823,0.24982,0.50197,0.10378,0.08548,0.04202,2.98593,2.59056,1.55663,0.24182,0.000187519,0.000187519,0.000187519
15,473.253,2.89141,2.26098,1.59935,0.24345,0.51714,0.1064,0.08818,0.04372,2.93954,2.4656,1.53659,0.23399,0.000161482,0.000161482,0.000161482
16,498.954,2.86392,2.17621,1.5798,0.2363,0.43766,0.11297,0.0931,0.04632,2.93065,2.51743,1.52256,0.25389,0.000135445,0.000135445,0.000135445
17,524.639,2.78369,2.16002,1.57644,0.22264,0.5216,0.11984,0.09818,0.04983,2.91172,2.47545,1.53846,0.23132,0.000109408,0.000109408,0.000109408
18,550.431,2.76382,2.09344,1.54176,0.23011,0.34422,0.12617,0.10237,0.05116,2.86059,2.3625,1.49933,0.22746,8.3371e-05,8.3371e-05,8.3371e-05
19,576.4,2.7161,2.07703,1.54103,0.22031,0.44937,0.12256,0.10234,0.05161,2.85316,2.3505,1.50674,0.22059,5.7334e-05,5.7334e-05,5.7334e-05
20,602.298,2.80218,2.07914,1.52531,0.22545,0.45519,0.12583,0.10303,0.05254,2.85759,2.35973,1.50145,0.22378,3.1297e-05,3.1297e-05,3.1297e-05
